date,home_team,away_team,fthg,ftag,result,season,matchday,home_odds,draw_odds,away_odds
2023-08-11,Burnley,Man City,0,3,A,2023-2024,1,,,
2023-08-12,Arsenal,Nottingham,2,1,H,2023-2024,1,,,
2023-08-12,Bournemouth,West Ham,1,1,D,2023-2024,1,,,
2023-08-12,Brighton Hove,Luton Town,4,1,H,2023-2024,1,,,
2023-08-12,Everton,Fulham,0,1,A,2023-2024,1,,,
2023-08-12,Sheffield Utd,Crystal Palace,0,1,A,2023-2024,1,,,
2023-08-12,Newcastle,Aston Villa,5,1,H,2023-2024,1,,,
2023-08-13,Brentford,Tottenham,2,2,D,2023-2024,1,,,
2023-08-13,Chelsea,Liverpool,1,1,D,2023-2024,1,,,
2023-08-14,Man United,Wolverhampton,1,0,H,2023-2024,1,,,
2023-08-18,Nottingham,Sheffield Utd,2,1,H,2023-2024,2,,,
2023-08-19,Fulham,Brentford,0,3,A,2023-2024,2,,,
2023-08-19,Liverpool,Bournemouth,3,1,H,2023-2024,2,,,
2023-08-19,Wolverhampton,Brighton Hove,1,4,A,2023-2024,2,,,
2023-08-19,Tottenham,Man United,2,0,H,2023-2024,2,,,
2023-08-19,Man City,Newcastle,1,0,H,2023-2024,2,,,
2023-08-20,Aston Villa,Everton,4,0,H,2023-2024,2,,,
2023-08-20,West Ham,Chelsea,3,1,H,2023-2024,2,,,
2023-08-21,Crystal Palace,Arsenal,0,1,A,2023-2024,2,,,
2023-08-25,Chelsea,Luton Town,3,0,H,2023-2024,3,,,
2023-08-26,Brighton Hove,West Ham,1,3,A,2023-2024,3,,,
2023-08-26,Brentford,Crystal Palace,1,1,D,2023-2024,3,,,
2023-08-26,Arsenal,Fulham,2,2,D,2023-2024,3,,,
2023-08-26,Everton,Wolverhampton,0,1,A,2023-2024,3,,,
2023-08-26,Bournemouth,Tottenham,0,2,A,2023-2024,3,,,
2023-08-26,Man United,Nottingham,3,2,H,2023-2024,3,,,
2023-08-27,Sheffield Utd,Man City,1,2,A,2023-2024,3,,,
2023-08-27,Burnley,Aston Villa,1,3,A,2023-2024,3,,,
2023-08-27,Newcastle,Liverpool,1,2,A,2023-2024,3,,,
2023-09-01,Luton Town,West Ham,1,2,A,2023-2024,4,,,
2023-09-02,Brighton Hove,Newcastle,3,1,H,2023-2024,4,,,
2023-09-02,Chelsea,Nottingham,0,1,A,2023-2024,4,,,
2023-09-02,Man City,Fulham,5,1,H,2023-2024,4,,,
2023-09-02,Brentford,Bournemouth,2,2,D,2023-2024,4,,,
2023-09-02,Sheffield Utd,Everton,2,2,D,2023-2024,4,,,
2023-09-02,Burnley,Tottenham,2,5,A,2023-2024,4,,,
2023-09-03,Crystal Palace,Wolverhampton,3,2,H,2023-2024,4,,,
2023-09-03,Liverpool,Aston Villa,3,0,H,2023-2024,4,,,
2023-09-03,Arsenal,Man United,3,1,H,2023-2024,4,,,
2023-09-16,West Ham,Man City,1,3,A,2023-2024,5,,,
2023-09-16,Wolverhampton,Liverpool,1,3,A,2023-2024,5,,,
2023-09-16,Aston Villa,Crystal Palace,3,1,H,2023-2024,5,,,
2023-09-16,Fulham,Luton Town,1,0,H,2023-2024,5,,,
2023-09-16,Man United,Brighton Hove,1,3,A,2023-2024,5,,,
2023-09-16,Tottenham,Sheffield Utd,2,1,H,2023-2024,5,,,
2023-09-16,Newcastle,Brentford,1,0,H,2023-2024,5,,,
2023-09-17,Bournemouth,Chelsea,0,0,D,2023-2024,5,,,
2023-09-17,Everton,Arsenal,0,1,A,2023-2024,5,,,
2023-09-18,Nottingham,Burnley,1,1,D,2023-2024,5,,,
2023-09-23,Crystal Palace,Fulham,0,0,D,2023-2024,6,,,
2023-09-23,Luton Town,Wolverhampton,1,1,D,2023-2024,6,,,
2023-09-23,Man City,Nottingham,2,0,H,2023-2024,6,,,
2023-09-23,Brentford,Everton,1,3,A,2023-2024,6,,,
2023-09-23,Burnley,Man United,0,1,A,2023-2024,6,,,
2023-09-24,Arsenal,Tottenham,2,2,D,2023-2024,6,,,
2023-09-24,Brighton Hove,Bournemouth,3,1,H,2023-2024,6,,,
2023-09-24,Chelsea,Aston Villa,0,1,A,2023-2024,6,,,
2023-09-24,Liverpool,West Ham,3,1,H,2023-2024,6,,,
2023-09-24,Sheffield Utd,Newcastle,0,8,A,2023-2024,6,,,
2023-09-30,Tottenham,Liverpool,2,1,H,2023-2024,7,,,
2023-09-30,Wolverhampton,Man City,2,1,H,2023-2024,7,,,
2023-09-30,West Ham,Sheffield Utd,2,0,H,2023-2024,7,,,
2023-09-30,Newcastle,Burnley,2,0,H,2023-2024,7,,,
2023-09-30,Bournemouth,Arsenal,0,4,A,2023-2024,7,,,
2023-09-30,Everton,Luton Town,1,2,A,2023-2024,7,,,
2023-09-30,Aston Villa,Brighton Hove,6,1,H,2023-2024,7,,,
2023-09-30,Man United,Crystal Palace,0,1,A,2023-2024,7,,,
2023-10-01,Nottingham,Brentford,1,1,D,2023-2024,7,,,
2023-10-02,Fulham,Chelsea,0,2,A,2023-2024,7,,,
2023-10-03,Luton Town,Burnley,1,2,A,2023-2024,2,,,
2023-10-07,Man United,Brentford,2,1,H,2023-2024,8,,,
2023-10-07,Crystal Palace,Nottingham,0,0,D,2023-2024,8,,,
2023-10-07,Fulham,Sheffield Utd,3,1,H,2023-2024,8,,,
2023-10-07,Everton,Bournemouth,3,0,H,2023-2024,8,,,
2023-10-07,Burnley,Chelsea,1,4,A,2023-2024,8,,,
2023-10-07,Luton Town,Tottenham,0,1,A,2023-2024,8,,,
2023-10-08,Brighton Hove,Liverpool,2,2,D,2023-2024,8,,,
2023-10-08,West Ham,Newcastle,2,2,D,2023-2024,8,,,
