date,home_team,away_team,fthg,ftag,result,season,matchday,home_odds,draw_odds,away_odds
2024-08-16,Man United,Fulham,1,0,H,2024-2025,1,,,
2024-08-17,Ipswich Town,Liverpool,0,2,A,2024-2025,1,,,
2024-08-17,Arsenal,Wolverhampton,2,0,H,2024-2025,1,,,
2024-08-17,Everton,Brighton Hove,0,3,A,2024-2025,1,,,
2024-08-17,Newcastle,Southampton,1,0,H,2024-2025,1,,,
2024-08-17,Nottingham,Bournemouth,1,1,D,2024-2025,1,,,
2024-08-17,West Ham,Aston Villa,1,2,A,2024-2025,1,,,
2024-08-18,Brentford,Crystal Palace,2,1,H,2024-2025,1,,,
2024-08-18,Chelsea,Man City,0,2,A,2024-2025,1,,,
2024-08-19,Leicester City,Tottenham,1,1,D,2024-2025,1,,,
2024-08-24,Aston Villa,Arsenal,0,2,A,2024-2025,2,,,
2024-08-24,Tottenham,Everton,4,0,H,2024-2025,2,,,
2024-08-24,Southampton,Nottingham,0,1,A,2024-2025,2,,,
2024-08-24,Crystal Palace,West Ham,0,2,A,2024-2025,2,,,
2024-08-24,Fulham,Leicester City,2,1,H,2024-2025,2,,,
2024-08-24,Brighton Hove,Man United,2,1,H,2024-2025,2,,,
2024-08-24,Man City,Ipswich Town,4,1,H,2024-2025,2,,,
2024-08-25,Bournemouth,Newcastle,1,1,D,2024-2025,2,,,
2024-08-25,Wolverhampton,Chelsea,2,6,A,2024-2025,2,,,
2024-08-25,Liverpool,Brentford,2,0,H,2024-2025,2,,,
2024-08-31,Nottingham,Wolverhampton,1,1,D,2024-2025,3,,,
2024-08-31,West Ham,Man City,1,3,A,2024-2025,3,,,
2024-08-31,Leicester City,Aston Villa,1,2,A,2024-2025,3,,,
2024-08-31,Brentford,Southampton,3,1,H,2024-2025,3,,,
2024-08-31,Everton,Bournemouth,2,3,A,2024-2025,3,,,
2024-08-31,Arsenal,Brighton Hove,1,1,D,2024-2025,3,,,
2024-08-31,Ipswich Town,Fulham,1,1,D,2024-2025,3,,,
2024-09-01,Chelsea,Crystal Palace,1,1,D,2024-2025,3,,,
2024-09-01,Newcastle,Tottenham,2,1,H,2024-2025,3,,,
2024-09-01,Man United,Liverpool,0,3,A,2024-2025,3,,,
2024-09-14,Bournemouth,Chelsea,0,1,A,2024-2025,4,,,
2024-09-14,Aston Villa,Everton,3,2,H,2024-2025,4,,,
2024-09-14,Man City,Brentford,2,1,H,2024-2025,4,,,
2024-09-14,Liverpool,Nottingham,0,1,A,2024-2025,4,,,
2024-09-14,Fulham,West Ham,1,1,D,2024-2025,4,,,
